hit num,title,year,authors,key,ee,venue_category
0,An Architecture Model for Harvesting-Aware Applications in FPGA.,2015,Marilia Souto Maior De Lima & Pedro Lazaro A. Santos & Cristiano Coelho de Araújo,conf/icac/LimaSA15,https://doi.org/10.1109/ICAC.2015.19,Self-Adaptive_Systems
1,A Domain-Specific Language for Autonomic Managers in FPGA Reconfigurable Architectures.,2018,Soguy Mak Karé Gueye & Gwenaël Delaval & Éric Rutten & Dominique Heller & Jean-Philippe Diguet,conf/icac/GueyeDRHD18,https://doi.org/10.1109/ICAC.2018.00021,Self-Adaptive_Systems
2,Exploring Fast Artistic Style Merging on Heterogenous Architecture.,2017,Peian Wang & Jinyun Gu & Zichen Xu 0001,conf/icac/WangGX17,https://doi.org/10.1109/ICAC.2017.39,Self-Adaptive_Systems
3,Demonstrating a Runtime Machine-Centric Emergent Software Architecture Framework.,2016,Roberto Rodrigues Filho & Barry Porter,conf/icac/FilhoP16a,https://doi.org/10.1109/ICAC.2016.35,Self-Adaptive_Systems
4,Integrating Adaptation Mechanisms Using Control Theory Centric Architecture Models: A Case Study.,2014,Filip Krikava & Philippe Collet & Romain Rouvoy,conf/icac/KrikavaCR14,https://www.usenix.org/conference/icac14/technical-sessions/presentation/krikava,Self-Adaptive_Systems
5,A Simulation-Based Architecture for Smart Cyber-Physical Systems.,2016,Thomas Gabor & Lenz Belzner & Marie Kiermeier & Michael Till Beck & Alexander Neitz,conf/icac/GaborBKBN16,https://doi.org/10.1109/ICAC.2016.29,Self-Adaptive_Systems
6,Towards a Generic Architecture and Methodology for Multi-goal; Highly-distributed and Dynamic Autonomic Systems.,2013,Sylvain Frey & Ada Diaconescu & David Menga & Isabelle M. Demeure,conf/icac/FreyDMD13,https://www.usenix.org/conference/icac13/technical-sessions/presentation/frey,Self-Adaptive_Systems
7,Adaptive Power Profiling for Many-Core HPC Architectures.,2016,Jaimie Kelley & Christopher Stewart & Devesh Tiwari & Saurabh Gupta 0002,conf/icac/KelleySTG16,https://doi.org/10.1109/ICAC.2016.45,Self-Adaptive_Systems
8,Gru: An Approach to Introduce Decentralized Autonomic Behavior in Microservices Architectures.,2016,Luca Florio & Elisabetta Di Nitto,conf/icac/FlorioN16,https://doi.org/10.1109/ICAC.2016.25,Self-Adaptive_Systems
9,An Architecture for Self-Awareness Experiments.,2017,Christopher Landauer & Kirstie L. Bellman,conf/icac/LandauerB17,https://doi.org/10.1109/ICAC.2017.33,Self-Adaptive_Systems
10,On the design of decentralized control architectures for workload consolidation in large-scale server clusters.,2012,Rui Wang & Nagarajan Kandasamy,conf/icac/WangK12,https://doi.org/10.1145/2371536.2371558,Self-Adaptive_Systems
11,Organic Architecture for Energy Management and Smart Grids.,2015,Ingo Mauser & Christian Hirsch & Sebastian Kochanneck & Hartmut Schmeck,conf/icac/MauserHKS15,https://doi.org/10.1109/ICAC.2015.10,Self-Adaptive_Systems
12,Self-Managed Component-Based Software Architecture for Business Process Management.,2015,Bassem Debbabi & Thomas Calmant & Olivier Gattaz & Sandra Massonnat & Patrick Emin,conf/icac/DebbabiCGME15,https://doi.org/10.1109/ICAC.2015.25,Self-Adaptive_Systems
13,Efficient Utility-Driven Self-Healing Employing Adaptation Rules for Large Dynamic Architectures.,2017,Sona Ghahremani & Holger Giese & Thomas Vogel 0001,conf/icac/GhahremaniG017,https://doi.org/10.1109/ICAC.2017.35,Self-Adaptive_Systems
14,Autonomic Management of Dynamically Partially Reconfigurable FPGA Architectures Using Discrete Control.,2013,Xin An & Éric Rutten & Jean-Philippe Diguet & Nicolas Le Griguer & Abdoulaye Gamatié,conf/icac/AnRDGG13,https://www.usenix.org/conference/icac13/technical-sessions/presentation/an,Self-Adaptive_Systems
15,Online SLAM with any-time self-calibration and automatic change detection.,2015,Nima Keivan & Gabe Sibley,conf/icra/KeivanS15,https://doi.org/10.1109/ICRA.2015.7140008,Robotics
16,Evaluating Adaptation Performance of Hierarchical Deep Reinforcement Learning.,2020,Neale Van Stolen & Seung Hyun Kim & Huy T. Tran & Girish Chowdhary 0001,conf/icra/StolenKT020,https://doi.org/10.1109/ICRA40945.2020.9197052,Robotics
17,MANGA: Method Agnostic Neural-policy Generalization and Adaptation.,2020,Homanga Bharadhwaj & Shoichiro Yamaguchi & Shin-ichi Maeda,conf/icra/BharadhwajYM20,https://doi.org/10.1109/ICRA40945.2020.9197398,Robotics
18,GPU-based dynamic search on adaptive resolution grids.,2014,Francisco M. Garcia & Mubbasir Kapadia & Norman I. Badler,conf/icra/GarciaKB14,https://doi.org/10.1109/ICRA.2014.6907070,Robotics
19,A Multilayer-Multimodal Fusion Architecture for Pattern Recognition of Natural Manipulations in Percutaneous Coronary Interventions.,2020,Xiao-Hu Zhou & Xiao-Liang Xie & Zhen-Qiu Feng & Zeng-Guang Hou & Gui-Bin Bian & Rui-Qi Li & Zhen-Liang Ni & Shi-Qi Liu 0004 & Yan-Jie Zhou,conf/icra/ZhouXFHBLNLZ20,https://doi.org/10.1109/ICRA40945.2020.9197111,Robotics
20,Ad2Attack: Adaptive Adversarial Attack on Real-Time UAV Tracking.,2022,Changhong Fu 0001 & Sihang Li & Xinnan Yuan & Junjie Ye & Ziang Cao & Fangqiang Ding,conf/icra/0001LYYCD22,https://doi.org/10.1109/ICRA46639.2022.9812056,Robotics
21,An Architecture for Reactive Mobile Manipulation On-The-Move.,2023,Ben Burgess-Limerick & Chris Lehnert & Jürgen Leitner & Peter Corke,conf/icra/BurgessLimerickLLC23,https://doi.org/10.1109/ICRA48891.2023.10161021,Robotics
22,Self-Adaptive Driving in Nonstationary Environments through Conjectural Online Lookahead Adaptation.,2023,Tao Li & Haozhe Lei & Quanyan Zhu,conf/icra/LiLZ23,https://doi.org/10.1109/ICRA48891.2023.10161368,Robotics
23,In-Hand Manipulation in Power Grasp: Design of an Adaptive Robot Hand with Active Surfaces.,2023,Yilin Cai & Shenli Yuan,conf/icra/CaiY23,https://doi.org/10.1109/ICRA48891.2023.10161516,Robotics
24,ElectroVoxel: Electromagnetically Actuated Pivoting for Scalable Modular Self-Reconfigurable Robots.,2022,Martin Nisser & Leon Cheng & Yashaswini Makaram & Ryo Suzuki 0001 & Stefanie Müller 0001,conf/icra/NisserCMS022,https://doi.org/10.1109/ICRA46639.2022.9811746,Robotics
25,Image Masking for Robust Self-Supervised Monocular Depth Estimation.,2023,Hemang Chawla & Kishaan Jeeveswaran & Elahe Arani & Bahram Zonooz,conf/icra/ChawlaJAZ23,https://doi.org/10.1109/ICRA48891.2023.10161373,Robotics
26,Patient-tailored adaptive robotic system for upper-limb rehabilitation.,2013,Eugenia Papaleo & Loredana Zollo & Luca Spedaliere & Eugenio Guglielmelli,conf/icra/PapaleoZSG13,https://doi.org/10.1109/ICRA.2013.6631120,Robotics
27,A Framework for Robot Manipulation: Skill Formalism; Meta Learning and Adaptive Control.,2019,Lars Johannsmeier & Malkin Gerchow & Sami Haddadin,conf/icra/JohannsmeierGH19,https://doi.org/10.1109/ICRA.2019.8793542,Robotics
28,Safe Self-Supervised Learning in Real of Visuo-Tactile Feedback Policies for Industrial Insertion.,2023,Letian Fu & Huang Huang & Lars Berscheid & Hui Li & Ken Goldberg & Sachin Chitta,conf/icra/FuHBLGC23,https://doi.org/10.1109/ICRA48891.2023.10160763,Robotics
