hit num,title,year,authors,key,ee,venue_category
21,An Architecture for Reactive Mobile Manipulation On-The-Move.,2023,Ben Burgess-Limerick & Chris Lehnert & Jürgen Leitner & Peter Corke,conf/icra/BurgessLimerickLLC23,https://doi.org/10.1109/ICRA48891.2023.10161021,Robotics
22,Self-Adaptive Driving in Nonstationary Environments through Conjectural Online Lookahead Adaptation.,2023,Tao Li & Haozhe Lei & Quanyan Zhu,conf/icra/LiLZ23,https://doi.org/10.1109/ICRA48891.2023.10161368,Robotics
23,In-Hand Manipulation in Power Grasp: Design of an Adaptive Robot Hand with Active Surfaces.,2023,Yilin Cai & Shenli Yuan,conf/icra/CaiY23,https://doi.org/10.1109/ICRA48891.2023.10161516,Robotics
25,Image Masking for Robust Self-Supervised Monocular Depth Estimation.,2023,Hemang Chawla & Kishaan Jeeveswaran & Elahe Arani & Bahram Zonooz,conf/icra/ChawlaJAZ23,https://doi.org/10.1109/ICRA48891.2023.10161373,Robotics
28,Safe Self-Supervised Learning in Real of Visuo-Tactile Feedback Policies for Industrial Insertion.,2023,Letian Fu & Huang Huang & Lars Berscheid & Hui Li & Ken Goldberg & Sachin Chitta,conf/icra/FuHBLGC23,https://doi.org/10.1109/ICRA48891.2023.10160763,Robotics
32,A new meta-module for efficient reconfiguration of hinged-units modular robots.,2016,Irene Parada & Vera Sacristán & Rodrigo I. Silveira,conf/icra/ParadaSS16,https://doi.org/10.1109/ICRA.2016.7487726,Robotics
54,Object Reconfiguration with Simulation-Derived Feasible Actions.,2023,Yiyuan Lee & Wil Thomason & Zachary K. Kingston & Lydia E. Kavraki,conf/icra/LeeTKK23,https://doi.org/10.1109/ICRA48891.2023.10160377,Robotics
64,GraspAda: Deep Grasp Adaptation through Domain Transfer.,2023,Yiting Chen & Junnan Jiang & Ruiqi Lei & Yasemin Bekiroglu & Fei Chen & Miao Li,conf/icra/ChenJLBCL23,https://doi.org/10.1109/ICRA48891.2023.10160213,Robotics
71,Distributed plan reconfiguration via knowledge transfer in multi-agent systems under local LTL specifications.,2014,Meng Guo 0002 & Dimos V. Dimarogonas,conf/icra/GuoD14,https://doi.org/10.1109/ICRA.2014.6907485,Robotics
74,Fast stochastic motion planning with optimality guarantees using local policy reconfiguration.,2014,Ryan Luna & Morteza Lahijanian & Mark Moll & Lydia E. Kavraki,conf/icra/LunaLMK14,https://doi.org/10.1109/ICRA.2014.6907293,Robotics
79,Magnetically-Connected Modular Reconfigurable Mini-robotic System with Bilateral Isokinematic Mapping and Fast On-site Assembly towards Minimally Invasive Procedures.,2021,Xiao Xiao & Shilei Xu & Changsheng Li & Xiaoyi Gu & Huxin Gao & Max Q.-H. Meng & Hongliang Ren 0001,conf/icra/XiaoXLGGM021,https://doi.org/10.1109/ICRA48506.2021.9561141,Robotics
80,Explainable Action Prediction through Self-Supervision on Scene Graphs.,2023,Pawit Kochakarn & Daniele De Martini & Daniel Omeiza & Lars Kunze,conf/icra/KochakarnMOK23,https://doi.org/10.1109/ICRA48891.2023.10161132,Robotics
86,Global/local motion planning based on Dynamic Trajectory Reconfiguration and Dynamical Systems for Autonomous Surgical Robots.,2020,Narcís Sayols & Alessio Sozzi & Nicola Piccinelli & Albert Hernansanz & Alicia Casals & Marcello Bonfè & Riccardo Muradore,conf/icra/SayolsSPHCBM20,https://doi.org/10.1109/ICRA40945.2020.9197525,Robotics
88,Focused Adaptation of Dynamics Models for Deformable Object Manipulation.,2023,Peter Mitrano & Alex LaGrassa & Oliver Kroemer & Dmitry Berenson,conf/icra/MitranoLKB23,https://doi.org/10.1109/ICRA48891.2023.10161366,Robotics
110,Versatile Skill Control via Self-supervised Adversarial Imitation of Unlabeled Mixed Motions.,2023,Chenhao Li & Sebastian Blaes & Pavel Kolev & Marin Vlastelica & Jonas Frey & Georg Martius,conf/icra/LiBKVFM23,https://doi.org/10.1109/ICRA48891.2023.10160421,Robotics
115,Self-Supervised Learning of Action Affordances as Interaction Modes.,2023,Liquan Wang & Nikita Dvornik & Rafael Dubeau & Mayank Mittal & Animesh Garg,conf/icra/WangDDMG23,https://doi.org/10.1109/ICRA48891.2023.10161371,Robotics
118,Adaptive Sampling-based Particle Filter for Visual-inertial Gimbal in the Wild.,2023,Xueyang Kang & Ariel Herrera & Henry Lema & Esteban Valencia & Patrick Vandewalle,conf/icra/KangHLVV23,https://doi.org/10.1109/ICRA48891.2023.10160395,Robotics
120,Distributed computation of forces in modular-robotic ensembles as part of reconfiguration planning.,2017,Pawel Holobut & Jakub Lengiewicz,conf/icra/HolobutL17,https://doi.org/10.1109/ICRA.2017.7989242,Robotics
130,Self-Supervised Monocular Depth Underwater.,2023,Shlomi Amitai & Itzik Klein & Tali Treibitz,conf/icra/AmitaiKT23,https://doi.org/10.1109/ICRA48891.2023.10161161,Robotics
132,Coordinated Control of a Reconfigurable Multi-Vessel Platform: Robust Control Approach.,2019,Shinkyu Park & Erkan Kayacan & Carlo Ratti & Daniela Rus,conf/icra/ParkKRR19,https://doi.org/10.1109/ICRA.2019.8794075,Robotics
133,Fault tolerance analysis of a hexarotor with reconfigurable tilted rotors.,2020,Claudio D. Pose & Juan I. Giribet & Ignacio Mas,conf/icra/PoseGM20,https://doi.org/10.1109/ICRA40945.2020.9196552,Robotics
142,Multi-fingered robotic hand planner for object reconfiguration through a rolling contact evolution model.,2013,Juan Antonio Corrales Ramon & Véronique Perdereau & Fernando Torres Medina,conf/icra/RamonPM13,https://doi.org/10.1109/ICRA.2013.6630638,Robotics
143,A reconfiguration strategy for Reconfigurable Cable-Driven Parallel Robots.,2015,Lorenzo Gagliardini & Stéphane Caro & Marc Gouttefarde & Alexis Girin,conf/icra/GagliardiniCGG15,https://doi.org/10.1109/ICRA.2015.7139404,Robotics
145,Robot explanatory narratives of collaborative and adaptive experiences.,2023,Alberto Olivares Alarcos & Antonio Andriella & Sergi Foix & Guillem Alenyà,conf/icra/AlarcosAFA23,https://doi.org/10.1109/ICRA48891.2023.10161359,Robotics
147,A hybrid plastic-fabric soft bending actuator with reconfigurable bending profiles.,2017,Rainier F. Natividad & Manuel R. Del Rosario & Peter C. Y. Chen & Chen-Hua Yeow,conf/icra/NatividadRCY17,https://doi.org/10.1109/ICRA.2017.7989792,Robotics
148,A Multi-Agent Approach for Adaptive Finger Cooperation in Learning-based In-Hand Manipulation.,2023,Lingfeng Tao & Jiucai Zhang & Michael Bowman & Xiaoli Zhang,conf/icra/TaoZBZ23,https://doi.org/10.1109/ICRA48891.2023.10160909,Robotics
157,Reconfiguration Analysis and Motion Planning of a Novel Reconfigurable Mobile Manipulator Torso.,2018,Wan Ding & Tim Detert & Jorge De La Cruz & Burkhard Corves,conf/icra/DingDCC18,https://doi.org/10.1109/ICRA.2018.8460214,Robotics
161,Reconfigurable Motion Planning and Control in Obstacle Cluttered Environments under Timed Temporal Tasks.,2019,Christos K. Verginis & Constantinos Vrohidis & Charalampos P. Bechlioulis & Kostas J. Kyriakopoulos & Dimos V. Dimarogonas,conf/icra/VerginisVBKD19,https://doi.org/10.1109/ICRA.2019.8794000,Robotics
163,Design of manually reconfigurable modular manipulator with three revolute joints and links.,2016,Seonghun Hong 0001 & Dong-Eun Choi & Sungchul Kang & Hyeongcheol Lee & Woosub Lee,conf/icra/HongCKLL16,https://doi.org/10.1109/ICRA.2016.7487728,Robotics
166,Quasi-static evaluation of a modular and Reconfigurable Manufacturing Cell.,2013,Aditya N. Das & Stephen Savoie,conf/icra/DasS13,https://doi.org/10.1109/ICRA.2013.6630585,Robotics
169,Learning to Control Reconfigurable Staged Soft Arms.,2020,Austin Nicolai & Gina Olson & Yigit Mengüç & Geoffrey A. Hollinger,conf/icra/NicolaiOMH20,https://doi.org/10.1109/ICRA40945.2020.9197516,Robotics
171,Multiagent Reinforcement Learning for Autonomous Routing and Pickup Problem with Adaptation to Variable Demand.,2023,Daniel Garces & Sushmita Bhattacharya & Stephanie Gil & Dimitri P. Bertsekas,conf/icra/GarcesBGB23,https://doi.org/10.1109/ICRA48891.2023.10161067,Robotics
173,Full-resolution reconfiguration planning for heterogeneous cube-shaped modular robots with only sliding motion primitive.,2016,Hiroshi Kawano,conf/icra/Kawano16,https://doi.org/10.1109/ICRA.2016.7487730,Robotics
175,STEPS: Joint Self-supervised Nighttime Image Enhancement and Depth Estimation.,2023,Yupeng Zheng & Chengliang Zhong & Pengfei Li & Huan-ang Gao & Yuhang Zheng & Bu Jin & Ling Wang & Hao Zhao 0002 & Guyue Zhou & Qichao Zhang & Dongbin Zhao,conf/icra/ZhengZLGZJWZZZZ23,https://doi.org/10.1109/ICRA48891.2023.10160708,Robotics
184,A Multi-VTOL Modular Aspect Ratio Reconfigurable Aerial Robot.,2022,Stephen J. Carlson & Prateek Arora & Christos Papachristos,conf/icra/CarlsonAP22,https://doi.org/10.1109/ICRA46639.2022.9811542,Robotics
193,On the analysis of large-dimension reconfigurable suspended cable-driven parallel robots.,2014,Dinh Quan Nguyen & Marc Gouttefarde & Olivier Company & François Pierrot,conf/icra/NguyenGCP14,https://doi.org/10.1109/ICRA.2014.6907701,Robotics
194,VINet: Visual and Inertial-based Terrain Classification and Adaptive Navigation over Unknown Terrain.,2023,Tianrui Guan & Ruitao Song & Zhixian Ye & Liangjun Zhang,conf/icra/GuanSYZ23,https://doi.org/10.1109/ICRA48891.2023.10161251,Robotics
209,Self-supervised Cloth Reconstruction via Action-conditioned Cloth Tracking.,2023,Zixuan Huang & Xingyu Lin & David Held,conf/icra/HuangLH23,https://doi.org/10.1109/ICRA48891.2023.10160653,Robotics
231,A Compact; Two-Part Torsion Spring Architecture.,2023,Zachary Bons & Gray C. Thomas & Luke M. Mooney & Elliott J. Rouse,conf/icra/BonsTMR23,https://doi.org/10.1109/ICRA48891.2023.10161174,Robotics
242,Adaptive and Explainable Deployment of Navigation Skills via Hierarchical Deep Reinforcement Learning.,2023,Kyowoon Lee & Seongun Kim & Jaesik Choi,conf/icra/LeeKC23,https://doi.org/10.1109/ICRA48891.2023.10160371,Robotics
243,WE-Filter: Adaptive Acceptance Criteria for Filter-based Shared Autonomy.,2023,Michael Bowman & Xiaoli Zhang,conf/icra/BowmanZ23,https://doi.org/10.1109/ICRA48891.2023.10161228,Robotics
245,Occlusion Reasoning for Skeleton Extraction of Self-Occluded Tree Canopies.,2023,Chung Hee Kim & George Kantor,conf/icra/KimK23,https://doi.org/10.1109/ICRA48891.2023.10160650,Robotics
255,Reconfigurable Magnetic Microswarm for Thrombolysis under Ultrasound Imaging.,2020,Qianqian Wang & Ben Wang & Jiangfan Yu & Kathrin Schweizer & Bradley J. Nelson & Li Zhang 0010,conf/icra/WangWYSNZ20,https://doi.org/10.1109/ICRA40945.2020.9197432,Robotics
257,Adaptive Heading for Perception-Aware Trajectory Following.,2023,Jonatan Scharff Willners & Sean Katagiri & Shida Xu & Tomasz Luczynski & Joshua Roe & Yvan R. Petillot,conf/icra/WillnersKXLRP23,https://doi.org/10.1109/ICRA48891.2023.10160521,Robotics
258,GSMR-CNN: An End-to-End Trainable Architecture for Grasping Target Objects from Multi-Object Scenes.,2023,Valerija Holomjova & Andrew J. Starkey & Pascal Meißner,conf/icra/HolomjovaSM23,https://doi.org/10.1109/ICRA48891.2023.10161009,Robotics
265,M3Express: A low-cost independently-mobile reconfigurable modular robot.,2012,Kevin C. Wolfe & Matthew Moses & Michael Dennis Mays Kutzer & Gregory S. Chirikjian,conf/icra/WolfeMKC12,https://doi.org/10.1109/ICRA.2012.6224971,Robotics
268,Robotic Control Using Model Based Meta Adaption.,2023,Karam Daaboul & Joel Ikels & J. Marius Zöllner,conf/icra/DaaboulIZ23,https://doi.org/10.1109/ICRA48891.2023.10160425,Robotics
