hit num,title,year,authors,key,ee,venue_category
21,An Architecture for Reactive Mobile Manipulation On-The-Move.,2023,Ben Burgess-Limerick & Chris Lehnert & Jürgen Leitner & Peter Corke,conf/icra/BurgessLimerickLLC23,https://doi.org/10.1109/ICRA48891.2023.10161021,Robotics
22,Self-Adaptive Driving in Nonstationary Environments through Conjectural Online Lookahead Adaptation.,2023,Tao Li & Haozhe Lei & Quanyan Zhu,conf/icra/LiLZ23,https://doi.org/10.1109/ICRA48891.2023.10161368,Robotics
23,In-Hand Manipulation in Power Grasp: Design of an Adaptive Robot Hand with Active Surfaces.,2023,Yilin Cai & Shenli Yuan,conf/icra/CaiY23,https://doi.org/10.1109/ICRA48891.2023.10161516,Robotics
25,Image Masking for Robust Self-Supervised Monocular Depth Estimation.,2023,Hemang Chawla & Kishaan Jeeveswaran & Elahe Arani & Bahram Zonooz,conf/icra/ChawlaJAZ23,https://doi.org/10.1109/ICRA48891.2023.10161373,Robotics
28,Safe Self-Supervised Learning in Real of Visuo-Tactile Feedback Policies for Industrial Insertion.,2023,Letian Fu & Huang Huang & Lars Berscheid & Hui Li & Ken Goldberg & Sachin Chitta,conf/icra/FuHBLGC23,https://doi.org/10.1109/ICRA48891.2023.10160763,Robotics
62,GraspAda: Deep Grasp Adaptation through Domain Transfer.,2023,Yiting Chen & Junnan Jiang & Ruiqi Lei & Yasemin Bekiroglu & Fei Chen & Miao Li,conf/icra/ChenJLBCL23,https://doi.org/10.1109/ICRA48891.2023.10160213,Robotics
75,Explainable Action Prediction through Self-Supervision on Scene Graphs.,2023,Pawit Kochakarn & Daniele De Martini & Daniel Omeiza & Lars Kunze,conf/icra/KochakarnMOK23,https://doi.org/10.1109/ICRA48891.2023.10161132,Robotics
82,Focused Adaptation of Dynamics Models for Deformable Object Manipulation.,2023,Peter Mitrano & Alex LaGrassa & Oliver Kroemer & Dmitry Berenson,conf/icra/MitranoLKB23,https://doi.org/10.1109/ICRA48891.2023.10161366,Robotics
104,Versatile Skill Control via Self-supervised Adversarial Imitation of Unlabeled Mixed Motions.,2023,Chenhao Li & Sebastian Blaes & Pavel Kolev & Marin Vlastelica & Jonas Frey & Georg Martius,conf/icra/LiBKVFM23,https://doi.org/10.1109/ICRA48891.2023.10160421,Robotics
109,Self-Supervised Learning of Action Affordances as Interaction Modes.,2023,Liquan Wang & Nikita Dvornik & Rafael Dubeau & Mayank Mittal & Animesh Garg,conf/icra/WangDDMG23,https://doi.org/10.1109/ICRA48891.2023.10161371,Robotics
112,Adaptive Sampling-based Particle Filter for Visual-inertial Gimbal in the Wild.,2023,Xueyang Kang & Ariel Herrera & Henry Lema & Esteban Valencia & Patrick Vandewalle,conf/icra/KangHLVV23,https://doi.org/10.1109/ICRA48891.2023.10160395,Robotics
123,Self-Supervised Monocular Depth Underwater.,2023,Shlomi Amitai & Itzik Klein & Tali Treibitz,conf/icra/AmitaiKT23,https://doi.org/10.1109/ICRA48891.2023.10161161,Robotics
134,Robot explanatory narratives of collaborative and adaptive experiences.,2023,Alberto Olivares Alarcos & Antonio Andriella & Sergi Foix & Guillem Alenyà,conf/icra/AlarcosAFA23,https://doi.org/10.1109/ICRA48891.2023.10161359,Robotics
136,A Multi-Agent Approach for Adaptive Finger Cooperation in Learning-based In-Hand Manipulation.,2023,Lingfeng Tao & Jiucai Zhang & Michael Bowman & Xiaoli Zhang,conf/icra/TaoZBZ23,https://doi.org/10.1109/ICRA48891.2023.10160909,Robotics
154,Multiagent Reinforcement Learning for Autonomous Routing and Pickup Problem with Adaptation to Variable Demand.,2023,Daniel Garces & Sushmita Bhattacharya & Stephanie Gil & Dimitri P. Bertsekas,conf/icra/GarcesBGB23,https://doi.org/10.1109/ICRA48891.2023.10161067,Robotics
157,STEPS: Joint Self-supervised Nighttime Image Enhancement and Depth Estimation.,2023,Yupeng Zheng & Chengliang Zhong & Pengfei Li & Huan-ang Gao & Yuhang Zheng & Bu Jin & Ling Wang & Hao Zhao 0002 & Guyue Zhou & Qichao Zhang & Dongbin Zhao,conf/icra/ZhengZLGZJWZZZZ23,https://doi.org/10.1109/ICRA48891.2023.10160708,Robotics
174,VINet: Visual and Inertial-based Terrain Classification and Adaptive Navigation over Unknown Terrain.,2023,Tianrui Guan & Ruitao Song & Zhixian Ye & Liangjun Zhang,conf/icra/GuanSYZ23,https://doi.org/10.1109/ICRA48891.2023.10161251,Robotics
189,Self-supervised Cloth Reconstruction via Action-conditioned Cloth Tracking.,2023,Zixuan Huang & Xingyu Lin & David Held,conf/icra/HuangLH23,https://doi.org/10.1109/ICRA48891.2023.10160653,Robotics
211,A Compact; Two-Part Torsion Spring Architecture.,2023,Zachary Bons & Gray C. Thomas & Luke M. Mooney & Elliott J. Rouse,conf/icra/BonsTMR23,https://doi.org/10.1109/ICRA48891.2023.10161174,Robotics
222,Adaptive and Explainable Deployment of Navigation Skills via Hierarchical Deep Reinforcement Learning.,2023,Kyowoon Lee & Seongun Kim & Jaesik Choi,conf/icra/LeeKC23,https://doi.org/10.1109/ICRA48891.2023.10160371,Robotics
223,WE-Filter: Adaptive Acceptance Criteria for Filter-based Shared Autonomy.,2023,Michael Bowman & Xiaoli Zhang,conf/icra/BowmanZ23,https://doi.org/10.1109/ICRA48891.2023.10161228,Robotics
225,Occlusion Reasoning for Skeleton Extraction of Self-Occluded Tree Canopies.,2023,Chung Hee Kim & George Kantor,conf/icra/KimK23,https://doi.org/10.1109/ICRA48891.2023.10160650,Robotics
236,Adaptive Heading for Perception-Aware Trajectory Following.,2023,Jonatan Scharff Willners & Sean Katagiri & Shida Xu & Tomasz Luczynski & Joshua Roe & Yvan R. Petillot,conf/icra/WillnersKXLRP23,https://doi.org/10.1109/ICRA48891.2023.10160521,Robotics
237,GSMR-CNN: An End-to-End Trainable Architecture for Grasping Target Objects from Multi-Object Scenes.,2023,Valerija Holomjova & Andrew J. Starkey & Pascal Meißner,conf/icra/HolomjovaSM23,https://doi.org/10.1109/ICRA48891.2023.10161009,Robotics
246,Robotic Control Using Model Based Meta Adaption.,2023,Karam Daaboul & Joel Ikels & J. Marius Zöllner,conf/icra/DaaboulIZ23,https://doi.org/10.1109/ICRA48891.2023.10160425,Robotics
249,Learning from Physical Human Feedback: An Object-Centric One-Shot Adaptation Method.,2023,Alvin Shek & Bo Ying Su & Rui Chen 0030 & Changliu Liu,conf/icra/ShekSCL23,https://doi.org/10.1109/ICRA48891.2023.10161416,Robotics
254,Test-time Domain Adaptation for Monocular Depth Estimation.,2023,Zhi Li 0055 & Shaoshuai Shi & Bernt Schiele & Dengxin Dai,conf/icra/LiSSD23,https://doi.org/10.1109/ICRA48891.2023.10161304,Robotics
256,Sample; Crop; Track: Self-Supervised Mobile 3D Object Detection for Urban Driving LiDAR.,2023,Sangyun Shin & Stuart Golodetz & Madhu Vankadari & Kaichen Zhou & Andrew Markham & Niki Trigoni,conf/icra/ShinGVZMT23,https://doi.org/10.1109/ICRA48891.2023.10160980,Robotics
258,Gaka-Chu: A Self-Employed Autonomous Robot Artist.,2023,Eduardo Castelló Ferrer & Ivan Berman & Aleksandr A. Kapitonov & Vadim Manaenko & Makar Chernyaev & Pavel Tarasov,conf/icra/FerrerBKMCT23,https://doi.org/10.1109/ICRA48891.2023.10160866,Robotics
259,Dextrous Tactile In-Hand Manipulation Using a Modular Reinforcement Learning Architecture.,2023,Johannes Pitz & Lennart Röstel & Leon Sievers & Berthold Bäuml,conf/icra/PitzRSB23,https://doi.org/10.1109/ICRA48891.2023.10160756,Robotics
262,AI-Based Multi-Object Relative State Estimation with Self-Calibration Capabilities.,2023,Thomas Jantos & Christian Brommer & Eren Allak & Stephan Weiss 0002 & Jan Steinbrener,conf/icra/JantosBAWS23,https://doi.org/10.1109/ICRA48891.2023.10161375,Robotics
263,The New Dexterity Adaptive Humanlike Robot Hand: Employing a Reconfigurable Palm for Robust Grasping and Dexterous Manipulation.,2023,Geng Gao & Anany Dwivedi & Minas V. Liarokapis,conf/icra/GaoDL23,https://doi.org/10.1109/ICRA48891.2023.10161369,Robotics
265,Semi-autonomous robotic control of a self-shaping cochlear implant.,2023,Daniel Bautista-Salinas & Conor Kirby & Mohamed E. M. K. Abdelaziz & Burak Temelkuran & Charlie T. Huins & Ferdinando Rodriguez y Baena,conf/icra/BautistaSalinasKATHB23,https://doi.org/10.1109/ICRA48891.2023.10161565,Robotics
266,Improving Video Super-Resolution with Long-Term Self-Exemplars.,2023,Guotao Meng & Yue Wu 0012 & Qifeng Chen,conf/icra/MengWC23,https://doi.org/10.1109/ICRA48891.2023.10160844,Robotics
285,Uncertainty Quantification of Collaborative Detection for Self-Driving.,2023,Sanbao Su & Yiming Li 0003 & Sihong He & Songyang Han & Chen Feng 0002 & Caiwen Ding & Fei Miao,conf/icra/SuLHHFDM23,https://doi.org/10.1109/ICRA48891.2023.10160367,Robotics
287,Bilateral asymmetric hip stiffness applied by a robotic hip exoskeleton elicits kinematic and kinetic adaptation.,2023,Banu Abdikadirova & Mark Price & Jonaz Moreno Jaramillo & Wouter Hoogkamer & Meghan E. Huber,conf/icra/AbdikadirovaPJHH23,https://doi.org/10.1109/ICRA48891.2023.10161137,Robotics
295,Online augmentation of learned grasp sequence policies for more adaptable and data-efficient in-hand manipulation.,2023,Ethan K. Gordon & Rana Soltani-Zarrin,conf/icra/GordonS23,https://doi.org/10.1109/ICRA48891.2023.10161003,Robotics
296,ADAPT: Action-aware Driving Caption Transformer.,2023,Bu Jin & Xinyu Liu & Yupeng Zheng & Pengfei Li & Hao Zhao 0002 & Tong Zhang & Yuhang Zheng & Guyue Zhou & Jingjing Liu,conf/icra/JinLZLZZZZL23,https://doi.org/10.1109/ICRA48891.2023.10160326,Robotics
309,Towards Multi-Day Field Deployment Autonomy: A Long-Term Self-Sustainable Micro Aerial Vehicle Robot.,2023,Stephen J. Carlson & Prateek Arora & Tolga Karakurt & Brandon Moore & Christos Papachristos,conf/icra/CarlsonAKMP23,https://doi.org/10.1109/ICRA48891.2023.10161014,Robotics
317,ConDA: Unsupervised Domain Adaptation for LiDAR Segmentation via Regularized Domain Concatenation.,2023,Lingdong Kong & Niamul Quader & Venice Erin Liong,conf/icra/KongQL23,https://doi.org/10.1109/ICRA48891.2023.10160410,Robotics
321,AdaSfM: From Coarse Global to Fine Incremental Adaptive Structure from Motion.,2023,Yu Chen & Zihao Yu & Shu Song & Tianning Yu & Jianming Li & Gim Hee Lee,conf/icra/ChenYSYLL23,https://doi.org/10.1109/ICRA48891.2023.10161140,Robotics
325,Adaptive Keyframe Generation based LiDAR Inertial Odometry for Complex Underground Environments.,2023,Boseong Kim & Chanyoung Jung & David Hyunchul Shim & Ali-akbar Agha-mohammadi,conf/icra/KimJSA23,https://doi.org/10.1109/ICRA48891.2023.10161207,Robotics
327,Grey-Box Learning of Adaptive Manipulation Primitives for Robotic Assembly.,2023,Marco Braun & Sebastian Wrede 0001,conf/icra/BraunW23,https://doi.org/10.1109/ICRA48891.2023.10161077,Robotics
328,MPC with Sensor-Based Online Cost Adaptation.,2023,Avadesh Meduri & Huaijiang Zhu & Armand Jordana & Ludovic Righetti,conf/icra/MeduriZJR23,https://doi.org/10.1109/ICRA48891.2023.10161280,Robotics
332,Synthetic-to-Real Domain Adaptation for Action Recognition: A Dataset and Baseline Performances.,2023,Arun V. Reddy & Ketul Shah & William Paul & Rohita Mocharla & Judy Hoffman & Kapil D. Katyal & Dinesh Manocha & Celso M. de Melo & Rama Chellappa,conf/icra/ReddySPMHKMMC23,https://doi.org/10.1109/ICRA48891.2023.10160416,Robotics
335,Computational Methods to Support Prototyping of an Adaptive Robot Joystick Controller for Children with Upper Limb Impairments.,2023,Mélanie Jouaiti & Negin Azizi & Kerstin Dautenhahn,conf/icra/JouaitiAD23,https://doi.org/10.1109/ICRA48891.2023.10160808,Robotics
