title,year,authors,key,ee,venue_category
A reasoning architecture for human-robot joint tasks using physics-; social-; and capability-based logic.,2012,Kenton Williams & Cynthia Breazeal,conf/iros/WilliamsB12,https://doi.org/10.1109/IROS.2012.6385527,Robotics
In-Ground-Effect Model Based Adaptive Altitude Control of Rotorcraft Unmanned Aerial Vehicles.,2022,Tran Hoang Anh & Thanh Binh Nguyen 0010 & Jin Woo Song,journals/ral/AnhBS22,https://doi.org/10.1109/LRA.2021.3133932,Robotics
Probabilistic modeling of programmable stochastic self-assembly of robotic modules.,2017,Bahar Haghighat & Robin Thandiackal & Maximilian Mordig & Alcherio Martinoli,conf/iros/HaghighatTMM17,https://doi.org/10.1109/IROS.2017.8206337,Robotics
Self-Supervised Feature Learning from Partial Point Clouds via Pose Disentanglement.,2022,Meng-Shiun Tsai & Pei-Ze Chiang & Yi-Hsuan Tsai & Wei-Chen Chiu,conf/iros/TsaiCTC22,https://doi.org/10.1109/IROS47612.2022.9981390,Robotics
Self-supervised monocular distance learning on a lightweight micro air vehicle.,2016,Kevin Lamers & Sjoerd Tijmons & Christophe De Wagter & Guido de Croon,conf/iros/LamersTWC16,https://doi.org/10.1109/IROS.2016.7759284,Robotics
Online DCM Trajectory Adaptation for Push and Stumble Recovery during Humanoid Locomotion.,2021,George Mesesan & Johannes Englsberger & Christian Ott 0001,conf/icra/MesesanEO21,https://doi.org/10.1109/ICRA48506.2021.9560808,Robotics
Reducing adaptation latency for multi-concept visual perception in outdoor environments.,2016,Maggie B. Wigness & John G. Rogers & Luis Ernesto Navarro-Serment & Arne Suppé & Bruce A. Draper,conf/iros/WignessRNSD16,https://doi.org/10.1109/IROS.2016.7759432,Robotics
DMP Based Trajectory Tracking for a Nonholonomic Mobile Robot With Automatic Goal Adaptation and Obstacle Avoidance.,2019,Radhe Shyam Sharma & Santosh Shukla & Hamad Karki & Amit Shukla & Laxmidhar Behera & Venkatesh K. Subramanyam,conf/icra/SharmaSKSBS19,https://doi.org/10.1109/ICRA.2019.8793911,Robotics
Adaptation and Robust Learning of Probabilistic Movement Primitives.,2020,Sebastián Gómez-González & Gerhard Neumann & Bernhard Schölkopf & Jan Peters 0001,journals/trob/Gomez-GonzalezN20,https://doi.org/10.1109/TRO.2019.2937010,Robotics
Autonomous Decision Making in a Bioinspired Adaptive Robotic Anchoring Module.,2021,Rasoul Sadeghian & Pooya Sareh & Shahrooz Shahin & Sina Sareh,conf/iros/SadeghianSSS21,https://doi.org/10.1109/IROS51168.2021.9636378,Robotics
SESR: Self-Ensembling Sim-to-Real Instance Segmentation for Auto-Store Bin Picking.,2022,Biqi Yang & Xiaojie Gao & Kai Chen & Rui Cao & Yidan Feng & Xianzhi Li & Qi Dou 0001 & Chi-Wing Fu & Yun-Hui Liu & Pheng-Ann Heng,conf/iros/YangGCCFL0FLH22,https://doi.org/10.1109/IROS47612.2022.9981845,Robotics
Serverless Architecture for Service Robot Management System.,2021,Kenji Nishimiya & Yuta Imai,conf/icra/NishimiyaI21,https://doi.org/10.1109/ICRA48506.2021.9561824,Robotics
Investigation of self-healing compliant actuators for robotics.,2015,Seppe Terryn & Glenn Mathijssen & Joost Brancart & Guy Van Assche & Bram Vanderborght & Dirk Lefeber,conf/icra/TerrynMBAVL15,https://doi.org/10.1109/ICRA.2015.7139009,Robotics
Model predictive control architectures with force feedback for robotic-assisted beating heart surgery.,2014,Michel Dominici & Rui Pedro Duarte Cortesão,conf/icra/DominiciC14,https://doi.org/10.1109/ICRA.2014.6907174,Robotics
EV-FlowNet: Self-Supervised Optical Flow Estimation for Event-based Cameras.,2018,Alex Zihao Zhu & Liangzhe Yuan & Kenneth Chaney & Kostas Daniilidis,conf/rss/ZhuYCD18,http://www.roboticsproceedings.org/rss14/p62.html,Robotics
Fusion-FlowNet: Energy-Efficient Optical Flow Estimation using Sensor Fusion and Deep Fused Spiking-Analog Network Architectures.,2022,Chankyu Lee & Adarsh Kumar Kosta & Kaushik Roy 0001,conf/icra/LeeK022,https://doi.org/10.1109/ICRA46639.2022.9811821,Robotics
Adaptive movement sequences and predictive decisions based on hierarchical dynamical systems.,2012,Tobias Luksch & Michael Gienger & Manuel Mühlig & Takahide Yoshiike,conf/iros/LukschGMY12,https://doi.org/10.1109/IROS.2012.6385651,Robotics
Adaptive hysteresis compensation for a magneto-rheological robot actuator.,2013,Peyman Yadmellat & Mehrdad R. Kermani,conf/iros/YadmellatK13,https://doi.org/10.1109/IROS.2013.6697063,Robotics
CRMRL: Collaborative Relationship Meta Reinforcement Learning for Effectively Adapting to Type Changes in Multi-Robotic System.,2022,Hongda Jia & Yong Zhao & Yuanzhao Zhai & Bo Ding & Huaimin Wang & Qingtong Wu,journals/ral/JiaZZDWW22,https://doi.org/10.1109/LRA.2022.3196782,Robotics
Continuous Adaptation Management in Collective Intelligence Systems.,2019,Angelika Musil & Juergen Musil & Danny Weyns & Stefan Biffl,conf/ecsa/MusilMWB19,https://doi.org/10.1007/978-3-030-29983-5_8,Software_Architecture
Uncertainty-aware Self-supervised 3D Data Association.,2020,Jianren Wang & Siddharth Ancha & Yi-Ting Chen 0001 & David Held,conf/iros/WangACH20,https://doi.org/10.1109/IROS45743.2020.9341251,Robotics
Adaptive CLF-MPC With Application to Quadrupedal Robots.,2022,Maria Vittoria Minniti & Ruben Grandia & Farbod Farshidian & Marco Hutter 0001,journals/ral/MinnitiGFH22,https://doi.org/10.1109/LRA.2021.3128697,Robotics
Analysis of Fingertip Force Vector for Pinch-Lifting Gripper With Robust Adaptation to Environments.,2021,Dukchan Yoon & Youngjin Choi,journals/trob/YoonC21,https://doi.org/10.1109/TRO.2020.3045648,Robotics
Generalization of Robot Force-Relevant Skills Through Adapting Compliant Profiles.,2022,Chao Zeng 0002 & Shuang Li & Bin Fang 0003 & Zhaopeng Chen & Jianwei Zhang 0001,journals/ral/ZengLFCZ22,https://doi.org/10.1109/LRA.2021.3137907,Robotics
A GNC Architecture for Planetary Rovers with Autonomous Navigation.,2020,Martin Azkarate & Levin Gerdes & Luc Joudrier & Carlos Jesús Pérez-del-Pulgar,conf/icra/AzkarateGJP20,https://doi.org/10.1109/ICRA40945.2020.9197122,Robotics
Intelligent Machining Monitoring Using Sound Signal Processed With the Wavelet Method and a Self-Organizing Neural Network.,2019,Vahid Nasir & Julie Cool & Farrokh Sassani,journals/ral/NasirCS19,https://doi.org/10.1109/LRA.2019.2926666,Robotics
TransDSSL: Transformer Based Depth Estimation via Self-Supervised Learning.,2022,Daechan Han & Jeongmin Shin & Namil Kim & Soonmin Hwang & Yukyung Choi,journals/ral/HanSKHC22,https://doi.org/10.1109/LRA.2022.3196781,Robotics
Tandem stance avoidance using adaptive and asymmetric admittance control for fall prevention.,2015,Shotaro Nakagawa & Pei Di & Yasuhisa Hasegawa & Toshio Fukuda & Izumi Kondo & Masanori Tanimoto & Jian Huang 0001,conf/icra/NakagawaDHFKTH15,https://doi.org/10.1109/ICRA.2015.7140025,Robotics
An Online Initialization and Self-Calibration Method for Stereo Visual-Inertial Odometry.,2020,Weibo Huang & Hong Liu 0008 & Weiwei Wan,journals/trob/Huang0W20,https://doi.org/10.1109/TRO.2019.2959161,Robotics
Robust and Adaptive Lower Limb Prosthesis Stance Control via Extended Kalman Filter-Based Gait Phase Estimation.,2019,Nitish Thatte & Tanvi Shah & Hartmut Geyer,journals/ral/ThatteSG19,https://doi.org/10.1109/LRA.2019.2924841,Robotics
Self-supervised Wide Baseline Visual Servoing via 3D Equivariance.,2022,Jinwook Huh & Jungseok Hong & Suveer Garg & Hyun Soo Park & Volkan Isler,conf/iros/HuhHGPI22,https://doi.org/10.1109/IROS47612.2022.9981907,Robotics
Morphological Adaptation in an Energy Efficient Vibration-Based Robot.,2018,Shiv A. Katiyar & Ghopy Kandasamy & Eranda Kulatunga & Md. Mustafizur & Fumiya Iida & Surya Girinatha Nurzaman,conf/icra/KatiyarKKMIN18,https://doi.org/10.1109/ICRA.2018.8461107,Robotics
Game-Theoretic Planning for Self-Driving Cars in Multivehicle Competitive Scenarios.,2021,Mingyu Wang & Zijian Wang 0003 & John Talbot & J. Christian Gerdes & Mac Schwager,journals/trob/WangWTGS21,https://doi.org/10.1109/TRO.2020.3047521,Robotics
Wheel transformer: A miniaturized terrain adaptive robot with passively transformed wheels.,2013,Yoo-Seok Kim & Gwang-Pil Jung & Haan Kim & Kyu-Jin Cho & Chong-Nam Chu,conf/icra/KimJKCC13,https://doi.org/10.1109/ICRA.2013.6631385,Robotics
L1Adaptive Augmentation for Geometric Tracking Control of Quadrotors.,2022,Zhuohuan Wu & Sheng Cheng & Kasey A. Ackerman & Aditya Gahlawat & Arun Lakshmanan & Pan Zhao & Naira Hovakimyan,conf/icra/WuCAGLZH22,https://doi.org/10.1109/ICRA46639.2022.9811946,Robotics
Adaptive synergy control of a dexterous artificial hand to rotate objects in multiple orientations via EMG facial recognition.,2014,Benjamin A. Kent & Zahi M. Kakish & Nareen Karnati & Erik D. Engeberg,conf/icra/KentKKE14,https://doi.org/10.1109/ICRA.2014.6907851,Robotics
Development of an Intention-Based Adaptive Neural Cooperative Control Strategy for Upper-Limb Robotic Rehabilitation.,2021,Qingcong Wu & Ying Chen,journals/ral/WuC21a,https://doi.org/10.1109/LRA.2020.3043197,Robotics
APPLR: Adaptive Planner Parameter Learning from Reinforcement.,2021,Zifan Xu & Gauraang Dhamankar & Anirudh Nair & Xuesu Xiao & Garrett Warnell & Bo Liu 0042 & Zizhao Wang & Peter Stone,conf/icra/XuDNXWLWS21,https://doi.org/10.1109/ICRA48506.2021.9561647,Robotics
Vision Based Adaptation to Kernelized Synergies for Human Inspired Robotic Manipulation.,2021,Sunny Katyara & Fanny Ficuciello & Fei Chen 0007 & Bruno Siciliano & Darwin G. Caldwell,conf/icra/KatyaraF0SC21,https://doi.org/10.1109/ICRA48506.2021.9561046,Robotics
Finite-gain L2 stability of anti-windup adaptive tracking control for Euler-Lagrange systems with actuator saturation.,2014,Mitsuru Kanamori,conf/icra/Kanamori14,https://doi.org/10.1109/ICRA.2014.6907207,Robotics
Adaptive Aerial Grasping and Perching With Dual Elasticity Combined Suction Cup.,2020,Sensen Liu & Wei Dong & Zhao Ma & Xinjun Sheng,journals/ral/LiuDMS20,https://doi.org/10.1109/LRA.2020.3003879,Robotics
Adaptive Vision-Based Control of Redundant Robots with Null-Space Interaction for Human-Robot Collaboration.,2022,Xiangjie Yan & Chen Chen & Xiang Li 0009,conf/icra/YanCL22,https://doi.org/10.1109/ICRA46639.2022.9812218,Robotics
Control architecture for robots with continuum arms inspired by octopus vulgaris neurophysiology.,2012,David T. Branson & Rongjie Kang & Emanuele Guglielmino & Darwin G. Caldwell,conf/icra/BransonKGC12,https://doi.org/10.1109/ICRA.2012.6224576,Robotics
An Underactuated Gripper based on Car Differentials for Self-Adaptive Grasping with Passive Disturbance Rejection.,2021,Qiujie Lu & Jinhong Wang & Zhuang Zhang & Genliang Chen & Hao Wang 0015 & Nicolas Rojas 0002,conf/icra/LuWZCWR21,https://doi.org/10.1109/ICRA48506.2021.9561725,Robotics
Adaptive assist-as-needed controller to improve gait symmetry in robot-assisted gait training.,2014,Damiano Zanotto & Paul Stegall & Sunil Kumar Agrawal,conf/icra/ZanottoSA14,https://doi.org/10.1109/ICRA.2014.6906934,Robotics
Self-Calibration of Mobile Manipulator Kinematic and Sensor Extrinsic Parameters Through Contact-Based Interaction.,2018,Oliver Limoyo & Trevor Ablett & Filip Maric & Luke Volpatti & Jonathan Kelly,conf/icra/LimoyoAMVK18,https://doi.org/10.1109/ICRA.2018.8460658,Robotics
Safe Planning for Self-Driving Via Adaptive Constrained ILQR.,2020,Yanjun Pan & Qin Lin & Het Shah & John M. Dolan,conf/iros/PanLSD20,https://doi.org/10.1109/IROS45743.2020.9340886,Robotics
MotionHint: Self-Supervised Monocular Visual Odometry with Motion Constraints.,2022,Cong Wang & Yu-Ping Wang & Dinesh Manocha,conf/icra/WangWM22,https://doi.org/10.1109/ICRA46639.2022.9812288,Robotics
From Human Physical Interaction To Online Motion Adaptation Using Parameterized Dynamical Systems.,2018,Mahdi Khoramshahi & Antoine Laurens & Thomas Triquet & Aude Billard,conf/iros/KhoramshahiLTB18,https://doi.org/10.1109/IROS.2018.8594366,Robotics
Adapting learned robotics behaviours through policy adjustment.,2017,Juan Camilo Gamboa Higuera & David Meger & Gregory Dudek,conf/icra/HigueraMD17,https://doi.org/10.1109/ICRA.2017.7989686,Robotics
System Identification and Closed-Loop Control of a Hydraulically Amplified Self-Healing Electrostatic (HASEL) Actuator.,2018,Cosima Schunk & Levi Pearson & Eric Acome & Timothy G. Morrissey & Nikolaus Correll & Christoph Keplinger & Mark E. Rentschler & J. Sean Humbert,conf/iros/SchunkPAMCKRH18,https://doi.org/10.1109/IROS.2018.8593797,Robotics
Heart Motion Prediction Based on Adaptive Estimation Algorithms for Robotic-Assisted Beating Heart Surgery.,2013,Eser Erdem Tuna & Timothy J. Franke & Özkan Bebek & Akira Shiose & Kiyotaka Fukamachi & Murat Cenk Cavusoglu,journals/trob/TunaFBSFC13,https://doi.org/10.1109/TRO.2012.2217676,Robotics
An Obstacle-crossing Strategy Based on the Fast Self-reconfiguration for Modular Sphere Robots.,2020,Haobo Luo & Ming Li & Guangqi Liang & Huihuan Qian & Tin Lun Lam,conf/iros/LuoLLQL20,https://doi.org/10.1109/IROS45743.2020.9341162,Robotics
Autonomous Feature Tracing and Adaptive Sampling in Real-World Underwater Environments.,2018,Anwar Quraishi & Alexander Bahr & Felix Schill & Alcherio Martinoli,conf/icra/QuraishiBSM18,https://doi.org/10.1109/ICRA.2018.8460627,Robotics
Ergodic Specifications for Flexible Swarm Control: From User Commands to Persistent Adaptation.,2020,Ahalya Prabhakar & Ian Abraham & Annalisa T. Taylor & Millicent Schlafly & Katarina Popovic & Giovani Diniz & Brendan Teich & Borislava I. Simidchieva & Shane Clark & Todd D. Murphey,conf/rss/PrabhakarATSPDT20,https://doi.org/10.15607/RSS.2020.XVI.067,Robotics
Whole-body self-calibration via graph-optimization and automatic configuration selection.,2015,Daniel Maier & Stefan Wrobel & Maren Bennewitz,conf/icra/MaierWB15,https://doi.org/10.1109/ICRA.2015.7139992,Robotics
Performance analysis of self-adaptive systems for requirements validation at design-time.,2013,Matthias Becker 0001 & Markus Luckey & Steffen Becker 0001,conf/qosa/BeckerLB13,https://doi.org/10.1145/2465478.2465489,Software_Architecture
Power Flow Regulation; Adaptation; and Learning for Intrinsically Robust Virtual Energy Tanks.,2020,Erfan Shahriari & Lars Johannsmeier & Elisabeth Jensen & Sami Haddadin,journals/ral/ShahriariJJH20,https://doi.org/10.1109/LRA.2019.2953662,Robotics
Repeated Jumping with the REBOund: Self-Righting Jumping Robot Leveraging Bistable Origami-Inspired Design.,2022,Yuchen Sun & Joanna Wang & Cynthia Sung 0001,conf/icra/SunW022,https://doi.org/10.1109/ICRA46639.2022.9812232,Robotics
Ensuring path tracking stability of mobile robots in harsh conditions: An adaptive and predictive velocity control.,2014,Jean-Baptiste Braconnier & Roland Lenain & Benoît Thuilot,conf/icra/BraconnierLT14,https://doi.org/10.1109/ICRA.2014.6907633,Robotics
A Data-Driven Reinforcement Learning Solution Framework for Optimal and Adaptive Personalization of a Hip Exoskeleton.,2021,Xikai Tu & Minhan Li & Ming Liu 0005 & Jennie Si & He Helen Huang,conf/icra/TuLLSH21,https://doi.org/10.1109/ICRA48506.2021.9562062,Robotics
FaNeuRobot: A Framework for Robot and Prosthetics Control Using the NeuCube Spiking Neural Network Architecture and Finite Automata Theory.,2018,Kaushalya Kumarasinghe & Mahonri Owen & Denise Taylor & Nikola K. Kasabov & Chi Kit,conf/icra/KumarasingheOTK18,https://doi.org/10.1109/ICRA.2018.8460197,Robotics
Mind the Gap: Norm-Aware Adaptive Robust Loss for Multivariate Least-Squares Problems.,2022,Thomas Hitchcox & James Richard Forbes,journals/ral/HitchcoxF22,https://doi.org/10.1109/LRA.2022.3179424,Robotics
Self-Soldering Connectors for Modular Robots.,2014,Jonas Neubert & Arne Rost & Hod Lipson,journals/trob/NeubertRL14,https://doi.org/10.1109/TRO.2014.2344791,Robotics
Capillary self-alignment assisted hybrid robotic handling for ultra-thin die stacking.,2013,Ville Liimatainen & Mohamed Kharboutly & David Rostoucher & Michaël Gauthier & Quan Zhou 0001,conf/icra/LiimatainenKRGZ13,https://doi.org/10.1109/ICRA.2013.6630754,Robotics
SoftCubes: Stretchable and self-assembling three-dimensional soft modular matter.,2014,Sehyuk Yim & Metin Sitti,journals/ijrr/YimS14,https://doi.org/10.1177/0278364914527630,Robotics
Adaptive control of nonlinear teleoperation systems with varying asymmetric time delays.,2012,Farzad Hashemzadeh & Iraj Hassanzadeh & Mahdi Tavakoli & Ghasem Alizadeh,conf/iros/HashemzadehHTA12,https://doi.org/10.1109/IROS.2012.6385478,Robotics
Toward Hierarchical Self-Supervised Monocular Absolute Depth Estimation for Autonomous Driving Applications.,2020,Feng Xue & Guirong Zhuo & Ziyuan Huang & Wufei Fu & Zhuoyue Wu & Marcelo H. Ang,conf/iros/XueZHFWA20,https://doi.org/10.1109/IROS45743.2020.9340802,Robotics
Concurrent filtering and smoothing: A parallel architecture for real-time navigation and full smoothing.,2014,Stephen Williams & Vadim Indelman & Michael Kaess & Richard Roberts 0001 & John J. Leonard & Frank Dellaert,journals/ijrr/WilliamsIK0LD14,https://doi.org/10.1177/0278364914531056,Robotics
Behavior Self-Organization Supports Task Inference for Continual Robot Learning.,2021,Muhammad Burhan Hafez & Stefan Wermter,conf/iros/HafezW21,https://doi.org/10.1109/IROS51168.2021.9636297,Robotics
Efficient energy management by exploiting retention state for self-powered nonvolatile processors.,2018,Keni Qiu & Zhiyao Gong & Dongqin Zhou & Weiwen Chen & Yuanchao Xu 0002 & Xin Shi & Yongpan Liu,journals/jsa/QiuGZCXSL18,https://doi.org/10.1016/j.sysarc.2018.03.003,Software_Architecture
Towards a Robot Architecture for Situated Lifelong Object Learning.,2019,Jose L. Part & Oliver Lemon,conf/iros/PartL19,https://doi.org/10.1109/IROS40897.2019.8968166,Robotics
Patient-tailored adaptive robotic system for upper-limb rehabilitation.,2013,Eugenia Papaleo & Loredana Zollo & Luca Spedaliere & Eugenio Guglielmelli,conf/icra/PapaleoZSG13,https://doi.org/10.1109/ICRA.2013.6631120,Robotics
Adaptive Underactuated Finger With Active Rolling Surface.,2021,Jesús M. Gómez de Gabriel & Helge A. Wurdemann,journals/ral/GabrielW21,https://doi.org/10.1109/LRA.2021.3105729,Robotics
Motion primitives for path following with a self-assembled robotic swimmer.,2012,Carlos Orduno & Aaron T. Becker & Timothy Bretl,conf/iros/OrdunoBB12,https://doi.org/10.1109/IROS.2012.6385734,Robotics
Visual guided adaptive robotic interceptions with occluded target motion estimations.,2015,Yushing Cheung & Ya-Ting Huang & Jenn-Jier James Lien,conf/iros/CheungHL15,https://doi.org/10.1109/IROS.2015.7354241,Robotics
COINet: Adaptive Segmentation with Co-Interactive Network for Autonomous Driving.,2021,Jie Liu & Xiaoqing Guo & Baopu Li & Yixuan Yuan,conf/iros/LiuGLY21,https://doi.org/10.1109/IROS51168.2021.9636111,Robotics
Self-supervised Monocular Multi-robot Relative Localization with Efficient Deep Neural Networks.,2022,Shushuai Li & Christophe De Wagter & Guido C. H. E. de Croon,conf/icra/LiWC22,https://doi.org/10.1109/ICRA46639.2022.9812150,Robotics
Towards a Passive Adaptive Planar Foot with Ground Orientation and Contact Force Sensing for Legged Robots.,2018,Roman Kaslin & Hendrik Kolvenbach & Laura Paez & Klajd Lika & Marco Hutter 0001,conf/iros/KaslinKPLH18,https://doi.org/10.1109/IROS.2018.8593875,Robotics
Self-Organised Saliency Detection and Representation in Robot Swarms.,2021,Merihan Alhafnawi & Sabine Hauert & Paul J. O'Dowd,journals/ral/AlhafnawiHO21,https://doi.org/10.1109/LRA.2021.3057567,Robotics
Analyzing modular CNN architectures for joint depth prediction and semantic segmentation.,2017,Omid Hosseini Jafari & Oliver Groth & Alexander Kirillov & Michael Ying Yang & Carsten Rother,conf/icra/JafariGKYR17,https://doi.org/10.1109/ICRA.2017.7989537,Robotics
