title,year,authors,key,ee,venue_category
Every Hop is an Opportunity: Quickly Classifying and Adapting to Terrain During Targeted Hopping.,2019,Alexander H. Chang & Christian Hubicki & Aaron D. Ames & Patricio A. Vela,conf/icra/ChangHAV19,https://doi.org/10.1109/ICRA.2019.8793757,Robotics
A Locally-Adaptive; Parallel-Jaw Gripper with Clamping and Rolling Capable; Soft Fingertips for Fine Manipulation of Flexible Flat Cables.,2021,Jayden Chapman & Gal Gorjup & Anany Dwivedi & Saori Matsunaga & Toshisada Mariyama & Bruce A. MacDonald & Minas V. Liarokapis,conf/icra/ChapmanGDMMML21,https://doi.org/10.1109/ICRA48506.2021.9561970,Robotics
Dynamic Movement Primitives for moving goals with temporal scaling adaptation.,2020,Leonidas Koutras & Zoe Doulgeri,conf/icra/KoutrasD20,https://doi.org/10.1109/ICRA40945.2020.9196765,Robotics
A sensorimotor approach for self-learning of hand-eye coordination.,2015,Ali Ghadirzadeh & Atsuto Maki & Mårten Björkman,conf/iros/GhadirzadehMB15,https://doi.org/10.1109/IROS.2015.7354076,Robotics
Task-Based Role Adaptation for Human-Robot Cooperative Object Handling.,2021,Ramin Jaberzadeh Ansari & Yiannis Karayiannidis,journals/ral/AnsariK21,https://doi.org/10.1109/LRA.2021.3064498,Robotics
Topology optimized multi-material self-healing actuator with reduced out of plane deformation.,2022,Zhanwei Wang & Seppe Terryn & Julie Legrand & Pasquale Ferrentino & Seyedreza Kashef Tabrizian & Joost Brancart & Ellen Roels & Guy Van Assche & Bram Vanderborght,conf/iros/WangTLFTBRAV22,https://doi.org/10.1109/IROS47612.2022.9981297,Robotics
A 3T2R parallel and partially decoupled kinematic architecture.,2013,Matteo Malosio & Simone Pio Negri & Nicola Pedrocchi & Federico Vicentini & Lorenzo Molinari Tosatti,conf/iros/MalosioNPVT13,https://doi.org/10.1109/IROS.2013.6696389,Robotics
Self-supervised Neural Audio-Visual Sound Source Localization via Probabilistic Spatial Modeling.,2020,Yoshiki Masuyama & Yoshiaki Bando & Kohei Yatabe & Yoko Sasaki & Masaki Onishi & Yasuhiro Oikawa,conf/iros/MasuyamaBYSOO20,https://doi.org/10.1109/IROS45743.2020.9340938,Robotics
A role-based architecture for self-adaptive cyber-physical systems.,2020,Tim Kluge,conf/icse/Kluge20,https://doi.org/10.1145/3387939.3391601,Self-Adaptive_Systems
Using semantic fields to model dynamic spatial relations in a robot architecture for natural language instruction of service robots.,2013,Juan Fasola & Maja J. Mataric,conf/iros/FasolaM13,https://doi.org/10.1109/IROS.2013.6696345,Robotics
Towards Peak Torque Minimization for Modular Self-Folding Robots.,2018,Meibao Yao & Hutao Cui & Xueming Xiao & Christoph H. Belke & Jamie Paik,conf/iros/YaoCXBP18,https://doi.org/10.1109/IROS.2018.8593648,Robotics
A Control Architecture with Online Predictive Planning for Position and Torque Controlled Walking of Humanoid Robots.,2018,Stefano Dafarra & Gabriele Nava & Marie Charbonneau & Nuno Guedelha & Francisco Andrade 0002 & Silvio Traversaro & Luca Fiorio & Francesco Romano & Francesco Nori & Giorgio Metta & Daniele Pucci,conf/iros/DafarraNCGATFRN18,https://doi.org/10.1109/IROS.2018.8594277,Robotics
Self-Excited Vibration Valve That Induces Traveling Waves in Pneumatic Soft Mobile Robots.,2020,Yuji Miyaki & Hideyuki Tsukagoshi,journals/ral/MiyakiT20,https://doi.org/10.1109/LRA.2020.2978455,Robotics
Adaptation of limit-cycle walkers for collaborative tasks: A supervisory switching control approach.,2017,Sushant Veer & Mohamad Shafiee Motahar & Ioannis Poulakakis,conf/iros/VeerMP17a,https://doi.org/10.1109/IROS.2017.8206474,Robotics
Adaptive Flow Planning of Modular Spherical Robot Considering Static Gravity Stability.,2022,Haobo Luo & Tin Lun Lam,journals/ral/LuoL22,https://doi.org/10.1109/LRA.2022.3150028,Robotics
Addressing appearance change in outdoor robotics with adversarial domain adaptation.,2017,Markus Wulfmeier & Alex Bewley & Ingmar Posner,conf/iros/WulfmeierBP17,https://doi.org/10.1109/IROS.2017.8205961,Robotics
Self-Supervised Single-Image Depth Estimation From Focus and Defocus Clues.,2021,Yawen Lu & Garrett Milliron & John Slagter & Guoyu Lu,journals/ral/LuMSL21,https://doi.org/10.1109/LRA.2021.3092258,Robotics
Domain Adaptation for Outdoor Robot Traversability Estimation from RGB data with Safety-Preserving Loss.,2020,Simone Palazzo & Dario Calogero Guastella & Luciano Cantelli & Paolo Spadaro & Francesco Rundo & Giovanni Muscato & Daniela Giordano & Concetto Spampinato,conf/iros/PalazzoGCSRMGS20,https://doi.org/10.1109/IROS45743.2020.9341044,Robotics
Attitude-guided robust adaptive path following control for ducted fan UAV.,2014,Yanhe Zhu & Ge Li & Jie Zhao 0003 & HongZhe Jin,conf/icra/ZhuLZJ14,https://doi.org/10.1109/ICRA.2014.6906586,Robotics
How Behavior Trees Modularize Hybrid Control Systems and Generalize Sequential Behavior Compositions; the Subsumption Architecture; and Decision Trees.,2017,Michele Colledanchise & Petter Ögren,journals/trob/ColledanchiseO17,https://doi.org/10.1109/TRO.2016.2633567,Robotics
Audiovisual cognitive architecture for autonomous learning of face localisation by a Humanoid Robot.,2020,Jonas Gonzalez-Billandon & Alessandra Sciutti & Matthew S. Tata & Giulio Sandini & Francesco Rea,conf/icra/Gonzalez-Billandon20,https://doi.org/10.1109/ICRA40945.2020.9196829,Robotics
Robust Decentralized Context-Aware Sensor Fault Detection with In-Place Self-Calibration.,2018,Julio L. Paneque & José Ramiro Martinez de Dios & Aníbal Ollero,conf/iros/PanequeMO18,https://doi.org/10.1109/IROS.2018.8593680,Robotics
Adaptive Lévy Taxis for odor source localization in realistic environmental conditions.,2017,Romain Emery & Faezeh Rahbar & Ali Marjovi & Alcherio Martinoli,conf/icra/EmeryRMM17,https://doi.org/10.1109/ICRA.2017.7989407,Robotics
Self-Reconfiguration in Response to Faults in Modular Aerial Systems.,2020,Neeraj Gandhi & David Saldaña & Vijay Kumar 0001 & Linh Thi Xuan Phan,journals/ral/GandhiSKP20,https://doi.org/10.1109/LRA.2020.2970685,Robotics
Local flow sensing on helical microrobots for semi-automatic motion adaptation.,2020,Antoine Barbot & Dominique Decanini & Gilgueng Hwang,journals/ijrr/BarbotDH20,https://doi.org/10.1177/0278364919894374,Robotics
MELOADES: Methodology for long-term online adaptation of embedded software for heterogeneous devices.,2013,Frank Maker III & Rajeevan Amirtharajah & Venkatesh Akella,journals/jsa/MakerAA13,https://doi.org/10.1016/j.sysarc.2013.05.019,Software_Architecture
Evaluating Adaptation Performance of Hierarchical Deep Reinforcement Learning.,2020,Neale Van Stolen & Seung Hyun Kim & Huy T. Tran & Girish Chowdhary 0001,conf/icra/StolenKT020,https://doi.org/10.1109/ICRA40945.2020.9197052,Robotics
Robot perceptual adaptation to environment changes for long-term human teammate following.,2022,Sriram Siva & Hao Zhang 0011,journals/ijrr/SivaZ22,https://doi.org/10.1177/0278364919896625,Robotics
One-Shot Imitation from Observing Humans via Domain-Adaptive Meta-Learning.,2018,Tianhe Yu & Chelsea Finn & Sudeep Dasari & Annie Xie & Tianhao Zhang & Pieter Abbeel & Sergey Levine,conf/rss/YuFDXZAL18,http://www.roboticsproceedings.org/rss14/p02.html,Robotics
HYPER: Learned Hybrid Trajectory Prediction via Factored Inference and Adaptive Sampling.,2022,Xin Huang 0018 & Guy Rosman & Igor Gilitschenski & Ashkan Jasour & Stephen G. McGill & John J. Leonard & Brian C. Williams,conf/icra/HuangRGJMLW22,https://doi.org/10.1109/ICRA46639.2022.9812254,Robotics
Self-Supervised Incremental Learning for Sound Source Localization in Complex Indoor Environment.,2019,Hangxin Liu & Zeyu Zhang 0001 & Yixin Zhu & Song-Chun Zhu,conf/icra/LiuZZZ19,https://doi.org/10.1109/ICRA.2019.8794231,Robotics
Covariance Self-Attention Dual Path UNet for Rectal Tumor Segmentation.,2021,Haijun Gao & Xiangyin Zeng & Dazhi Pan & Bochuan Zheng,conf/icra/GaoZPZ21,https://doi.org/10.1109/ICRA48506.2021.9561826,Robotics
Speeding up rao-blackwellized particle filter SLAM with a multithreaded architecture.,2014,Bruno D. Gouveia & David Portugal & Lino Marques,conf/iros/GouveiaPM14,https://doi.org/10.1109/IROS.2014.6942766,Robotics
Adaptive Gain Control Strategy for Constant Optical Flow Divergence Landing.,2018,Hann Woei Ho & Guido C. H. E. de Croon & Erik-Jan van Kampen & Qiping Chu & Max Mulder,journals/trob/HoCKCM18,https://doi.org/10.1109/TRO.2018.2817418,Robotics
Soil-Adaptive Excavation Using Reinforcement Learning.,2022,Pascal Egli & Dominique Gaschen & Simon Kerscher & Dominic Jud & Marco Hutter 0001,journals/ral/EgliGKJH22,https://doi.org/10.1109/LRA.2022.3189834,Robotics
Coordinated Dense Aerial Traffic with Self-Driving Drones.,2018,Boldizsar Balazs & Gábor Vásárhelyi,conf/icra/BalazsV18,https://doi.org/10.1109/ICRA.2018.8461073,Robotics
Self-propelled hydrogels that glide on water.,2021,Jinlong Song & Yang Chen,journals/scirobotics/SongC21,https://doi.org/10.1126/scirobotics.abh1399,Robotics
Self-organized UAV traffic in realistic environments.,2016,Csaba Virágh & Máté Nagy 0001 & Carlos Gershenson & Gábor Vásárhelyi,conf/iros/ViraghNGV16,https://doi.org/10.1109/IROS.2016.7759265,Robotics
Adaptive and Risk-Aware Target Tracking for Robot Teams With Heterogeneous Sensors.,2022,Siddharth Mayya & Ragesh K. Ramachandran & Lifeng Zhou & Vinay Senthil & Dinesh Thakur & Gaurav S. Sukhatme & Vijay Kumar 0001,journals/ral/MayyaRZSTSK22,https://doi.org/10.1109/LRA.2022.3155805,Robotics
E-Morph as a New Adaptive Actuator for Soft Robotics.,2022,Piotr Bartkowski & Franciszek Gawinski & Lukasz Pawliszak,journals/ral/BartkowskiGP22,https://doi.org/10.1109/LRA.2022.3189169,Robotics
Adaptive Oscillator-Based Robust Control for Flexible Hip Assistive Exoskeleton.,2019,Tao Xue & Ziwei Wang 0001 & Tao Zhang 0006 & Meng Zhang,journals/ral/XueWZZ19,https://doi.org/10.1109/LRA.2019.2926678,Robotics
Diverse Complexity Measures for Dataset Curation in Self-Driving.,2021,Abbas Sadat & Sean Segal & Sergio Casas 0002 & James Tu & Bin Yang 0021 & Raquel Urtasun & Ersin Yumer,conf/iros/SadatS0T0UY21,https://doi.org/10.1109/IROS51168.2021.9636869,Robotics
Online velocity constraint adaptation for safe and efficient human-robot workspace sharing.,2020,Lucas Joseph & Joshua K. Pickard & Vincent Padois & David Daney,conf/iros/JosephPPD20,https://doi.org/10.1109/IROS45743.2020.9340961,Robotics
A Provisional Approach to Maintaining Verification and Validation Capability in Self-Adapting Robots.,2017,John C. Gallagher & Eric T. Matson & James Goppert,conf/irc/GallagherMG17,https://doi.org/10.1109/IRC.2017.35,Robotics
An Architecture Framework for Experimentations with Self-Adaptive Cyber-physical Systems.,2015,Michal Kit & Ilias Gerostathopoulos & Tomás Bures & Petr Hnetynka & Frantisek Plásil,conf/icse/KitGBHP15,https://doi.org/10.1109/SEAMS.2015.28,Self-Adaptive_Systems
Motion Control With Stiffness Adaptation for Torque Minimization in Multijoint Robots.,2014,Mitsunori Uemura & Hidemasa Goya & Sadao Kawamura,journals/trob/UemuraGK14,https://doi.org/10.1109/TRO.2013.2283927,Robotics
Human-robot mutual adaptation in collaborative tasks: Models and experiments.,2017,Stefanos Nikolaidis & David Hsu & Siddhartha S. Srinivasa,journals/ijrr/NikolaidisHS17,https://doi.org/10.1177/0278364917690593,Robotics
3D M-Blocks: Self-reconfiguring robots capable of locomotion via pivoting in three dimensions.,2015,John W. Romanishin & Kyle Gilpin & Sebastian Claici & Daniela Rus,conf/icra/RomanishinGCR15,https://doi.org/10.1109/ICRA.2015.7139450,Robotics
Adaptive Visual Shock Absorber with Visual-based Maxwell Model Using a Magnetic Gear.,2020,Satoshi Tanaka & Keisuke Koyama & Taku Senoo & Masatoshi Ishikawa,conf/icra/TanakaKSI20,https://doi.org/10.1109/ICRA40945.2020.9197504,Robotics
A Piecewise Monotonic Smooth Phase Variable for Speed-Adaptation Control of Powered Knee-Ankle Prostheses.,2022,Teng Ma & Yuxuan Wang & Xinxing Chen & Chuheng Chen & Zhimin Hou & Haoyong Yu & Chenglong Fu 0001,journals/ral/MaWCCHYF22,https://doi.org/10.1109/LRA.2022.3182536,Robotics
Adaptive visual tracking with reacquisition ability for arbitrary objects.,2013,Tianyu Yang & Baopu Li & Chao Hu & Max Q.-H. Meng,conf/icra/YangLHM13,https://doi.org/10.1109/ICRA.2013.6631254,Robotics
A near-optimal dynamic power sharing scheme for self-reconfigurable modular robots.,2016,Chi-An Chen & Thomas Joseph Collins & Wei-Min Shen,conf/icra/ChenCS16,https://doi.org/10.1109/ICRA.2016.7487724,Robotics
