title,year,authors,key,ee,venue_category
Run-time adaptive data page mapping: A Comparison with 3D-stacked DRAM cache.,2020,Rakesh Pandey & Aryabartta Sahu,journals/jsa/PandeyS20,https://doi.org/10.1016/j.sysarc.2020.101798,Software_Architecture
Digital architecture and robotic construction.,2017,,journals/scirobotics/X17b,https://doi.org/10.1126/scirobotics.aan3673,Robotics
Architectural Tactics for Energy-Aware Robotics Software: A Preliminary Study.,2021,Katerina Chinnappan & Ivano Malavolta & Grace A. Lewis & Michel Albonico & Patricia Lago,conf/ecsa/ChinnappanMLAL21,https://doi.org/10.1007/978-3-030-86044-8_11,Software_Architecture
Towards High-Quality Battery Life for Autonomous Mobile Robot Fleets.,2022,Akshar Shravan Chavan & Marco Brocanelli,conf/acsos/ChavanB22,https://doi.org/10.1109/ACSOS55765.2022.00024,Self-Adaptive_Systems
Toward Systematic Conveying of Architecture Design Knowledge for Self-Adaptive Systems.,2013,Sandro Santos Andrade & Raimundo José de Araújo Macêdo,conf/saso/AndradeM13a,https://doi.org/10.1109/SASOW.2013.13,Self-Adaptive_Systems
Architecture for a Dynamic Security Service Function Chain Reordering Framework.,2020,Lukas Iffländer & Hayreddin Ciner & Nicolas Fella & Samuel Kounev & Nishant Rawtani & Klaus-Dieter Lange,conf/acsos/IfflanderCFKRL20,https://doi.org/10.1109/ACSOS-C51401.2020.00064,Self-Adaptive_Systems
On the design of decentralized control architectures for workload consolidation in large-scale server clusters.,2012,Rui Wang & Nagarajan Kandasamy,conf/icac/WangK12,https://doi.org/10.1145/2371536.2371558,Self-Adaptive_Systems
Hardware transactional memory architecture with adaptive version management for multi-processor FPGA platforms.,2017,Jeevan Sirkunan & Chia Yee Ooi & Nasir Shaikh-Husin & Yuan Wen Hau & Muhammad N. Marsono,journals/jsa/SirkunanOSHM17,https://doi.org/10.1016/j.sysarc.2016.12.006,Software_Architecture
Architectural Styles for Adaptive Systems: A Tutorial.,2012,Luciano Baresi & Sam Guinea,conf/saso/BaresiG12,https://doi.org/10.1109/SASO.2012.38,Self-Adaptive_Systems
Scenario-based run-time adaptive MPSoC systems.,2016,Wei Quan & Andy D. Pimentel,journals/jsa/QuanP16,https://doi.org/10.1016/j.sysarc.2015.11.004,Software_Architecture
Performance; Precision; and Payloads: Adaptive Nonlinear MPC for Quadrotors.,2022,Drew Hanover & Philipp Foehn & Sihao Sun & Elia Kaufmann & Davide Scaramuzza 0001,journals/ral/HanoverFSKS22,https://doi.org/10.1109/LRA.2021.3131690,Robotics
Understanding the user in self-managing systems.,2015,Markus Wallmyr,conf/ecsa/Wallmyr15,https://doi.org/10.1145/2797433.2797438,Software_Architecture
Privacy-Aware UAV Flights through Self-Configuring Motion Planning.,2020,Yixing Luo & Yijun Yu & Zhi Jin & Yao Li 0011 & Zuohua Ding & Yuan Zhou 0005 & Yang Liu 0003,conf/icra/LuoYJLD0020,https://doi.org/10.1109/ICRA40945.2020.9197564,Robotics
Cooperative Adaptive Control for Cloud-Based Robotics.,2018,Patrick M. Wensing & Jean-Jacques E. Slotine,conf/icra/WensingS18,https://doi.org/10.1109/ICRA.2018.8460856,Robotics
Architecture-based self-protecting software systems.,2013,Eric Yuan & Sam Malek & Bradley R. Schmerl & David Garlan & Jeff Gennari,conf/qosa/YuanMSGG13,https://doi.org/10.1145/2465478.2465479,Software_Architecture
Towards Self-Organizing Swarms of Reconfigurable Self-Aware Robots.,2016,Oliver Kosak & Constantin Wanninger & Andreas Angerer & Alwin Hoffmann & Alexander Schiendorfer & Hella Seebach,conf/saso/KosakWAHSS16,https://doi.org/10.1109/FAS-W.2016.52,Self-Adaptive_Systems
Self-assembling heterogeneous interactive systems.,2016,Gheorghe Stefanescu & Ciprian Ionut Paduraru,conf/ecsa/StefanescuP16,https://doi.org/10.1145/3175731.3176174,Software_Architecture
Model-driven performance engineering of self-adaptive systems: a survey.,2012,Matthias Becker 0001 & Markus Luckey & Steffen Becker 0001,conf/qosa/BeckerLB12,https://doi.org/10.1145/2304696.2304716,Software_Architecture
Orbital Construction: Swarms of Simple Robots Building Enclosures.,2018,Andrew Vardy,conf/saso/Vardy18,https://doi.org/10.1109/FAS-W.2018.00040,Self-Adaptive_Systems
Self-adaptive IoT architectures: an emergency handling case study.,2018,Henry Muccini & Romina Spalazzese & Mahyar Tourchi Moghaddam & Mohammad Sharaf,conf/ecsa/MucciniSMS18,https://doi.org/10.1145/3241403.3241424,Software_Architecture
Gru: An Approach to Introduce Decentralized Autonomic Behavior in Microservices Architectures.,2016,Luca Florio & Elisabetta Di Nitto,conf/icac/FlorioN16,https://doi.org/10.1109/ICAC.2016.25,Self-Adaptive_Systems
Hierarchical Service Oriented Architecture for Development of Autonomic Systems.,2015,Malik Jahan Khan,conf/saso/Khan15,https://doi.org/10.1109/SASO.2015.30,Self-Adaptive_Systems
Lightweight and Reconfigurable Security Architecture for Internet of Things devices.,2021,Armin Babaei,conf/acsos/Babaei21,https://doi.org/10.1109/ACSOS-C52956.2021.00082,Self-Adaptive_Systems
A Framework for Adaptive and Goal-Driven Behaviour Control of Multi-robot Systems.,2016,Christopher-Eyk Hrabia,conf/saso/Hrabia16,https://doi.org/10.1109/FAS-W.2016.67,Self-Adaptive_Systems
